country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
B,Web-Acquisition,555776,840,0,,398,0,
B,Web-Acquisition,648628,1085,0,,515,2,0.96
B,SEM-Brand,15611,5400,282.69,,6365,3032,1730.19
B,SEM-Brand,20921,5045,184.47,,5828,1382,435.18
B,SEM-Brand,2578,644,20.27,,890,345,117.91
B,SEM-Brand,1094,407,17.97,,608,351,208.85
B,SEM-Flights,2266,635,400.53,,686,292,166.06
B,SEM-Flights,21348,831,299.47,,790,122,72.06
B,SEM-Flights,9922,690,247.58,,669,215,146.37
B,SEM-Flights,21903,680,244.6,,688,160,88.93
B,SEM-Flights,12363,567,186.17,,549,66,40.64
B,SEM-Flights,13376,2317,153.85,,2708,634,177.43
B,SEM-Flights,16511,326,147.47,,333,76,42.45
B,SEM-Flights,32737,2727,120.32,,2668,432,125.2
B,SEM-Flights,2941,278,109.19,,247,53,33.99
B,SEM-Flights,4991,201,102.26,,239,59,29.95
B,SEM-Flights,18920,1847,100.04,,1764,274,79.63
B,SEM-Flights,12717,1978,93.71,,1824,349,97.19
B,SEM-Flights,988,191,81.93,,177,27,14.14
B,SEM-Flights,1348,223,79.26,,187,46,31.84
B,SEM-Flights,10875,770,50.35,,770,122,31.01
B,SEM-Flights,5716,834,45.4,,747,110,39.78
B,SEM-Flights,12151,609,39.4,,591,75,19.26
B,SEM-Flights,1875,77,33.6,,81,8,4.35
B,SEM-Flights,12145,664,27.8,,584,95,23.5
B,SEM-Flights,1134,72,26.28,,60,15,8.27
B,SEM-Flights,1226,61,24.97,,61,10,8.66
B,SEM-Flights,6850,36,20.7,,37,8,4.4
B,SEM-Flights,4039,227,17.32,,198,37,11.16
B,SEM-Flights,1517,35,16.32,,60,21,10.92
B,SEM-Flights,3012,331,15.76,,282,44,10.33
B,SEM-Flights,409,31,10.13,,29,3,2.15
B,SEM-Flights,511,21,7.4,,21,9,4.17
B,SEM-Flights,4198,162,7.15,,136,16,6.66
B,SEM-Flights,93,16,7.13,,18,2,2.01
B,SEM-Flights,2943,59,4.82,,62,11,3.69
B,SEM-Flights,1082,50,3.9,,47,7,2.15
B,SEM-Flights,1118,67,3.18,,72,16,4.41
B,SEM-Flights,232,10,2.79,,9,1,0.75
B,SEM-Flights,192,9,1.97,,9,1,0.66
B,SEM-Flights,130,7,1.86,,6,0,
B,SEM-Flights,55,5,1.59,,7,1,0.6
B,SEM-Flights,465,33,1.39,,29,4,0.72
B,SEM-Flights,386,33,1.14,,32,2,0.53
B,SEM-Flights,230,7,1.11,,6,0,0.09
B,SEM-Flights,125,16,0.72,,8,0,
B,SEM-Flights,105,16,0.64,,15,4,0.87
B,SEM-Flights,87,4,0.39,,4,2,0.7
B,SEM-Flights,23,1,0.32,,1,0,
B,SEM-Flights,34,4,0.12,,3,0,0.16
B,SEM-Flights,30,4,0.09,,1,0,
B,SEM-Hotels,2699,82,31.28,,73,43,22.05
B,SEM-Hotels,545,27,15.45,,30,10,5.59
B,SEM-Hotels,319,22,13.01,,20,6,2.37
B,SEM-Hotels,140,17,9.57,,14,3,1.46
B,SEM-Hotels,337,10,7.56,,12,1,1.28
B,SEM-Hotels,367,16,6.48,,13,6,2.28
B,SEM-Hotels,947,47,6.27,,44,5,2.39
B,SEM-Hotels,81,11,6.26,,9,1,2.15
B,SEM-Hotels,1534,59,6.02,,54,14,6.68
B,SEM-Hotels,1619,56,5.88,,54,6,2.79
B,SEM-Hotels,277,13,5.44,,7,4,2.49
B,SEM-Hotels,162,12,4.98,,11,2,0.72
B,SEM-Hotels,908,33,3.98,,29,7,3.87
B,SEM-Hotels,473,17,3.7,,5,0,10.66
B,SEM-Hotels,943,29,3.67,,27,2,0.89
B,SEM-Hotels,256,5,3.34,,5,3,3.87
